,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score
WORTH,0.9593150600004927,1.58306976555308,1.3778093460517815,1.2418218777506471,0.3701448609676409,0.6970836501181156,1.098481991422049,1.7053010909520834,1.464492774710795,0.7412628444677866,0.38318746552583244,0.6280331523573754,1.3780651894617009,1.2956854588861502,1.3368753241739255
SHAREINDIA,0.745767793771856,0.5659620216239547,1.1305978381024062,1.9912629931072487,1.9069099321257994,0.8464063246083783,0.714693877190382,0.5687835663107673,0.9582472057912337,2.662933837810317,4.06040451725252,1.3467863745000217,1.2758702213081687,1.3917604675008655,1.333815344404517
ABCAPITAL,0.8873615139263223,1.1574598488317736,0.8459852102837392,2.6173388562229745,3.2393951631602147,2.699087935535883,0.7094054408968475,0.8907092161988961,0.7949144167027001,2.1221768277149486,1.4333743579912592,1.3963386021941435,1.4396862317751167,1.212252099905614,1.3259691658403652
AUBANK,0.548952787416569,1.4478830529308113,1.317583434606831,2.2198949044404066,1.2961162992142181,1.3181748142096206,0.6682945029845744,1.1893802254090424,0.9984123948980809,0.9877418766058041,0.48144686664172515,0.6867355637777017,1.6143367992216997,1.0334048055125902,1.323870802367145
PRIMESECU,1.7925936373806015,1.9834758790510025,1.668641908699269,0.4816361250976499,0.37776233658468833,0.8865530960257271,1.4724887670704947,1.8295523899031565,1.5600966951931667,0.4094279158163079,0.42001683540642976,2.3079437256889115,1.3755069676891298,1.268787200322107,1.3221470840056184
HOMEFIRST,0.9512726178524198,1.2828769262767101,1.1907306729184461,1.3597629437328163,0.7916443047536238,0.6110480058874139,1.1157999835758174,1.3840673200730993,1.1155472948284668,1.6505765282787155,1.8319165704062241,0.6728797816158494,1.25986960483441,1.3297600699124679,1.294814837373439
KTKBANK,0.4911416553914733,0.6817597255207478,1.1477810418687013,2.451359296214963,1.8617655764923353,2.14847020371967,0.5299183803523,0.6764183460007774,0.9433666827783239,1.737588827413503,1.2834196393320256,0.8340022618337265,1.445650254902989,1.1282436588133684,1.2869469568581788
HBSL,2.4080419510597313,1.9921362836682541,1.3161595217096027,0.6742453346738069,0.9187835051299944,0.5370871090140369,,2.259093325513517,1.379592900263147,0.5264301953656777,0.38915469294010013,0.5064315055495813,1.2587806179905943,1.2995441738439801,1.2791623959172873
M&MFIN,0.6216480106980641,1.081188642777214,1.6445854570918743,1.2406893313418612,1.211868259771144,1.1857774528247493,0.6057778893334197,0.8773206308120141,1.224290084208803,1.113015096774667,0.862075776425959,0.9038384578695028,1.4107372565039384,1.1215136972992044,1.2661254769015713
HDFCLIFE,0.6674730157590463,1.2060047783714891,2.0604985417784754,0.4712397138612035,1.474340551191279,1.081206569080947,0.7010617503800503,0.935354910975183,1.4038359416229917,0.6540412691580892,1.9345820675845014,1.8704588080643596,1.4128221407218964,1.0852013337539592,1.249011737237928
